,SCH_NAME,SCHOOL_YR,LEVEL_CODE,DIV_NUM,DIV_NAME,SCH_NUM,GRADE_CODE,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,PRIMARY_DISABILITY_TYPE,DEC1_CNT
218,Cameron Elementary,2010-2011,SCH,29.0,Fairfax County ,620.0,01,4.0,M,Y,Y,Y,SLD,10
219,Camp Allen Elementary,2010-2011,SCH,118.0,Norfolk City ,40.0,01,3.0,M,Y,N,Y,OHI,11
220,Campbell Court Elementary,2010-2011,SCH,44.0,Henry County ,590.0,01,5.0,M,Y,N,Y,SLD,11
221,Campbell Elementary,2010-2011,SCH,7.0,Arlington County ,615.0,02,4.0,M,Y,Y,Y,SLI,11
222,Campostella Elementary,2010-2011,SCH,118.0,Norfolk City ,770.0,01,3.0,M,Y,N,Y,SLD,10
223,Canterbury Woods Elementary,2010-2011,SCH,29.0,Fairfax County ,1590.0,05,5.0,F,Y,N,N,SLI,13
224,Capron Elementary,2010-2011,SCH,87.0,Southampton County ,710.0,,3.0,M,Y,N,Y,SLI,10
225,Captain John Smith Elementary,2010-2011,SCH,112.0,Hampton City ,460.0,03,3.0,M,Y,N,Y,SLD,10
226,Cardinal Forest Elementary,2010-2011,SCH,29.0,Fairfax County ,1690.0,01,2.0,M,Y,N,N,DD,11
227,Carlin Springs Elementary,2010-2011,SCH,7.0,Arlington County ,90.0,01,4.0,M,Y,Y,Y,SLI,10
228,Caroline High,2010-2011,SCH,17.0,Caroline County ,460.0,09,3.0,M,Y,N,Y,SLD,17
229,Caroline Middle,2010-2011,SCH,17.0,Caroline County ,450.0,06,3.0,M,Y,N,Y,SLD,12
230,Carroll County High,2010-2011,SCH,18.0,Carroll County ,1230.0,10,5.0,M,Y,N,Y,SLD,17
231,Carroll County Intermediate,2010-2011,SCH,18.0,Carroll County ,360.0,08,5.0,F,Y,N,Y,SLD,11
232,Carrollton Elementary,2010-2011,SCH,46.0,Isle of Wight County ,421.0,01,5.0,M,Y,N,N,DD,13
233,Carrsville Elementary,2010-2011,SCH,46.0,Isle of Wight County ,280.0,,5.0,M,Y,N,N,SLI,16
234,Carson Middle,2010-2011,SCH,29.0,Fairfax County ,2222.0,07,2.0,M,Y,Y,N,SLD,11
235,Carter G. Woodson Middle,2010-2011,SCH,114.0,Hopewell City ,110.0,06,3.0,M,Y,N,Y,SLD,22
236,Carver Elementary,2010-2011,SCH,117.0,Newport News City ,1170.0,01,3.0,M,Y,N,N,SLD,15
237,Carver Elementary ,2010-2011,SCH,44.0,Henry County ,480.0,01,5.0,M,Y,N,Y,SLI,11
238,Carver Middle,2010-2011,SCH,21.0,Chesterfield County ,420.0,06,3.0,M,Y,N,Y,SLD,10
