ï»¿Year,State,County,School District ,City ,Number Reporting,School,Public/Private,Age,Total_enrolled,Total_Complete,Total_Exempt,ME_total,PME_total,TME_total,PBE_total,PBE_total-philosophy,PBE_total-religion,TDaP,TDaP_exempt,Var,Var_exempt,HepB,HepB_exempt,HepA,HepA_exempt,MMR,Mumps_exempt,Rubella_exempt,Measles2,Measles2_exempt,Polio(IPV),Polio(IPV)_exempt,DTaP,DTaP_exempt,HIB1,HIB1_exempt,MCV4,MCV4_exempt,PCV13,PCV13_exempt,Influenza,Influenza_exempt,No Record
2017,Texas,Panola,,,,,,,3969,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Parker,,,,,,,21776,,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Parmer,,,,,,,2348,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Pecos,,,,,,,3228,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Polk,,,,,,,6994,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Potter,,,,,,,36698,,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Presidio,,,,,,,1579,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Rains,,,,,,,1705,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Randall,,,,,,,10002,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Reagan,,,,,,,859,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Real,,,,,,,542,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Red River,,,,,,,2116,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Reeves,,,,,,,2806,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Refugio,,,,,,,1290,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Roberts,,,,,,,219,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Robertson,,,,,,,3403,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Rockwall,,,,,,,22034,,,,,,441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Runnels,,,,,,,1993,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Rusk,,,,,,,8157,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Sabine,,,,,,,1562,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,San Augustine,,,,,,,1172,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,San Jacinto,,,,,,,3549,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,San Patricio,,,,,,,14355,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,San Saba,,,,,,,980,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Schleicher,,,,,,,555,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Scurry,,,,,,,3209,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Shackelford,,,,,,,637,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Shelby,,,,,,,5469,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Texas,Sherman,,,,,,,782,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
