Adequate Immunization Rate,Compliant with Idaho Regulations,Conditional Admit Records Rate,DTaP Adequate Rate,Exemption Record Rate,Grade,Hep. A Adequate Rate,Hep. B Adequate Rate,Incomplete or No Records Rate,MMR Adequate Rate,Meningitis Adequate Rate,Number of Records,Polio Adequate Rate,School District,School Name,School City,SchoolYear,State,Tdap Adequate Rate,Total Adequate,Total Conditional Admit Records,Total Enrollment,Total Exempt,Total Incomplete or No Records,Varicella Adequate Rate,X,Y,Address,City CAPS,City,testing,Zip
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Table Rock Christian,Table Rock Christian DRIGGS,2018-2019,ID,N/A,,,,,,N/A,-111.111019064,43.745022,1510 N Hwy 33,DRIGGS,Driggs,TABLE ROCK CHRISTIAN SCHOOL,83422
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Eagle Adventist Christian,Eagle Adventist Christian EAGLE,2018-2019,ID,N/A,,,,,,N/A,-116.361032334,43.695303475,538 W. State St.,EAGLE,Eagle,EAGLE ADVENTIST CHRISTIAN SCHOOL,83616
71.4%,100.0%,,78.6%,28.6%,First Grade,71.4%,71.4%,0.0%,78.6%,N/A,1,78.6%,Private,Montessori Academy,Montessori Academy EAGLE,2018-2019,ID,N/A,,,,,,71.4%,-116.40353301,43.707663555,1400 Park Ln,EAGLE,Eagle,MONTESSORI ACADEMY,83616
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Calvary Christian Academy,Calvary Christian Academy EMMETT,2018-2019,ID,N/A,,,,,,N/A,-116.506893693,43.893621487,498 W. Idaho Blvd.,EMMETT,Emmett,CALVARY CHRISTIAN ACADEMY,83617
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Saint Peter and Paul,Saint Peter and Paul GRANGEVILLE,2018-2019,ID,N/A,,,,,,N/A,-116.126922973,45.924533748,330 S B street,GRANGEVILLE,Grangeville,SAINT PETER AND PAUL SCHOOL,83530
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Greenleaf Friends Academy,Greenleaf Friends Academy GREENLEAF,2018-2019,ID,N/A,,,,,,N/A,-116.8188467,43.6713449,1520 N Bunting Lane,GREENLEAF,Greenleaf,GREENLEAF FRIENDS ACADEMY,83626
84.6%,92.3%,,84.6%,7.7%,First Grade,84.6%,84.6%,7.7%,84.6%,N/A,1,84.6%,Private,North Idaho Christian,North Idaho Christian HAYDEN,2018-2019,ID,N/A,,,,,,84.6%,-116.790096,47.766323,251 W Miles Avenue,HAYDEN,Hayden,NORTH IDAHO CHRISTIAN SCHOOL,83835
60.0%,100.0%,,60.0%,40.0%,First Grade,60.0%,60.0%,0.0%,60.0%,N/A,1,60.0%,Private,Christian Center,Christian Center HAYDEN,2018-2019,ID,N/A,,,,,,60.0%,-116.835139781,47.744721522,3639 W. Prairie Ave.,HAYDEN,Hayden,CHRISTIAN CENTER SCHOOL,83835
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Hope Lutheran,Hope Lutheran IDAHO FALLS,2018-2019,ID,N/A,,,,,,N/A,-111.994464,43.48709,2071 12th Street,IDAHO FALLS,Idaho Falls,HOPE LUTHERAN SCHOOL,83404
86.7%,90.0%,,93.3%,3.3%,First Grade,96.7%,100.0%,10.0%,90.0%,N/A,1,93.3%,Private,Watersprings,Watersprings IDAHO FALLS,2018-2019,ID,N/A,,,,,,96.7%,-111.984169872,43.460252246,4250 S. 25th E.,IDAHO FALLS,Idaho Falls,WATERSPRINGS SCHOOL,83404
100.0%,100.0%,,100.0%,0.0%,First Grade,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,Private,Holy Rosary Bi/Parish,Holy Rosary Bi/Parish IDAHO FALLS,2018-2019,ID,N/A,,,,,,100.0%,-112.031850693,43.489784460,161 9th Street,IDAHO FALLS,Idaho Falls,HOLY ROSARY BI-PARISH SCHOOL,83404
100.0%,100.0%,,100.0%,0.0%,First Grade,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,Private,Canyonside Christian,Canyonside Christian JEROME,2018-2019,ID,N/A,,,,,,100.0%,-114.506943637,42.709623087,820 East Nez Perce,JEROME,Jerome,CANYONSIDE CHRISTIAN SCHOOL,83338
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Beacon Christian,Beacon Christian LEWISTON,2018-2019,ID,N/A,,,,,,N/A,-117.000170832,46.391415461,615 Stewart Avenue,LEWISTON,Lewiston,BEACON CHRISTIAN SCHOOL,83501
71.4%,85.7%,,78.6%,0.0%,First Grade,85.7%,85.7%,14.3%,71.4%,N/A,1,78.6%,Private,Children's House Montessori  / Lewiston,Children's House Montessori  / Lewiston LEWISTON,2018-2019,ID,N/A,,,,,,71.4%,-117.027156204,46.421423505,101 5th Street,LEWISTON,Lewiston,CHILDREN'S HOUSE MONTESSORI SCHOOL - LEWISTON,83501
83.3%,91.7%,,91.7%,8.3%,First Grade,83.3%,83.3%,8.3%,83.3%,N/A,1,83.3%,Private,Cornerstone Christian Lewiston,Cornerstone Christian Lewiston LEWISTON,2018-2019,ID,N/A,,,,,,83.3%,-117.021508814,46.403042686,1700 8th St.,LEWISTON,Lewiston,CORNERSTONE CHRISTIAN SCHOOL - LEWISTON,83501
95.7%,100.0%,,95.7%,4.3%,First Grade,95.7%,95.7%,0.0%,95.7%,N/A,1,95.7%,Private,All Saints Catholic,All Saints Catholic LEWISTON,2018-2019,ID,N/A,,,,,,95.7%,-117.024170896,46.415680124,641 5th Ave,LEWISTON,Lewiston,ALL SAINTS CATHOLIC SCHOOL,83501
59.0%,89.7%,,71.8%,30.8%,First Grade,69.2%,76.9%,10.3%,69.2%,N/A,1,69.2%,Private,The Ambrose School,The Ambrose School MERIDIAN,2018-2019,ID,N/A,,,,,,71.8%,-116.374363,43.659926,6100 N. Locust Grove Rd,MERIDIAN,Meridian,THE AMBROSE SCHOOL,83646
77.3%,100.0%,,81.8%,22.7%,First Grade,86.4%,81.8%,0.0%,77.3%,N/A,1,81.8%,Private,Challenger  / Everest,Challenger  / Everest MERIDIAN,2018-2019,ID,N/A,,,,,,77.3%,-116.4188835,43.661726494,2020 West Everest Lane,MERIDIAN,Meridian,CHALLENGER SCHOOL - EVEREST,83646
93.9%,100.0%,,100.0%,2.0%,First Grade,95.9%,100.0%,0.0%,98.0%,N/A,1,100.0%,Private,St. Ignatius Catholic,St. Ignatius Catholic MERIDIAN,2018-2019,ID,N/A,,,,,,95.9%,-116.393501976,43.637957929,3600 N. Meridian Rd.,MERIDIAN,Meridian,ST. IGNATIUS CATHOLIC SCHOOL,83646
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,St. Mary's Catholic,St. Mary's Catholic MOSCOW,2018-2019,ID,N/A,,,,,,N/A,-116.991090648,46.736920152,412 N Monroe,MOSCOW,Moscow,ST. MARY'S CATHOLIC SCHOOL,83843
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Palouse Hills Christian,Palouse Hills Christian MOSCOW,2018-2019,ID,N/A,,,,,,N/A,-116.962583,46.719328,3148 Tomer Rd,MOSCOW,Moscow,PALOUSE HILLS CHRISTIAN SCHOOL,83843
72.2%,100.0%,,83.3%,25.0%,First Grade,77.8%,75.0%,0.0%,80.6%,N/A,1,80.6%,Private,Logos,Logos MOSCOW,2018-2019,ID,N/A,,,,,,72.2%,-117.020402553,46.734035208,110 Baker Street,MOSCOW,Moscow,LOGOS SCHOOL,83843
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Desert View Christian,Desert View Christian MOUNTAIN HOME,2018-2019,ID,N/A,,,,,,N/A,-115.669699,43.13404,2425 American Legion Blvd.,MOUNTAIN HOME,Mountain Home,DESERT VIEW CHRISTIAN SCHOOL,83647
,,,N/A,,First Grade,N/A,N/A,0.0%,N/A,N/A,1,,Private,Calvary Christian  / Nampa,Calvary Christian  / Nampa NAMPA,2018-2019,ID,N/A,,,,,,N/A,-116.613136158,43.595172557,1210 N. Middleton Rd.,NAMPA,Nampa,CALVARY CHRISTIAN SCHOOL - NAMPA,83651
77.3%,100.0%,,84.1%,15.9%,First Grade,86.4%,84.1%,0.0%,84.1%,N/A,1,86.4%,Private,Nampa Christian,Nampa Christian NAMPA,2018-2019,ID,N/A,,,,,,77.3%,-116.586180723,43.590428494,505 W. Orchard Ave,NAMPA,Nampa,NAMPA CHRISTIAN SCHOOL,83651
92.9%,100.0%,,92.9%,7.1%,First Grade,100.0%,100.0%,0.0%,92.9%,N/A,1,92.9%,Private,St. Paul's Catholic,St. Paul's Catholic NAMPA,2018-2019,ID,N/A,,,,,,92.9%,-116.563006893,43.570949367,1515 8th St. S.,NAMPA,Nampa,ST. PAUL'S CATHOLIC SCHOOL,83651
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,House of the Lord Christian Academy,House of the Lord Christian Academy OLDTOWN,2018-2019,ID,N/A,,,,,,N/A,-117.031620693,48.172061480,754 Silver Birch Lane,OLDTOWN,Oldtown,HOUSE OF THE LORD CHRISTIAN ACADEMY,83822
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Pend Oreille Valley Adventist,Pend Oreille Valley Adventist OLDTOWN,2018-2019,ID,N/A,,,,,,N/A,-117.023221675,48.116087277,33820 ID HWY 41,OLDTOWN,Oldtown,PEND OREILLE VALLEY ADVENTIST SCHOOL,83822
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Treasure Valley SDA,Treasure Valley SDA PAYETTE,2018-2019,ID,N/A,,,,,,N/A,-116.933412816,44.071321297,305 1/2 S. 9th St.,PAYETTE,Payette,TREASURE VALLEY SDA SCHOOL,83661
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Calvary Chapel Christian / Pocatello,Calvary Chapel Christian / Pocatello POCATELLO,2018-2019,ID,N/A,,,,,,N/A,-112.432260872,42.904473213,1633 Olympus Blvd.,POCATELLO,Pocatello,CALVARY CHAPEL CHRISTIAN SCHOOL - POCATELLO,83201
100.0%,100.0%,,100.0%,0.0%,First Grade,100.0%,100.0%,0.0%,100.0%,N/A,1,100.0%,Private,Holy Spirit Catholic,Holy Spirit Catholic POCATELLO,2018-2019,ID,N/A,,,,,,100.0%,-112.445253712,42.871251578,540 N. 7th Ave.,POCATELLO,Pocatello,HOLY SPIRIT CATHOLIC SCHOOL,83201
95.3%,100.0%,,97.7%,4.7%,First Grade,97.7%,97.7%,0.0%,97.7%,N/A,1,97.7%,Private,Grace Lutheran,Grace Lutheran POCATELLO,2018-2019,ID,N/A,,,,,,95.3%,-112.435434268,42.903900484,1350 Baldy Ave,POCATELLO,Pocatello,GRACE LUTHERAN SCHOOL,83201
45.5%,100.0%,,63.6%,54.5%,First Grade,72.7%,72.7%,0.0%,63.6%,N/A,1,63.6%,Private,Sandpoint Christian,Sandpoint Christian PONDERAY,2018-2019,ID,N/A,,,,,,45.5%,-116.546277295,48.319732504,477954 Highway 95 N,PONDERAY,Ponderay,SANDPOINT CHRISTIAN SCHOOL,83852
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Genesis Preparatory Academy,Genesis Preparatory Academy POST FALLS,2018-2019,ID,N/A,,,,,,N/A,-116.904979173,47.725746108,1866 N Cecil RD,POST FALLS,Post Falls,GENESIS PREPARATORY ACADEMY,83854
86.4%,100.0%,,86.4%,13.6%,First Grade,86.4%,86.4%,,86.4%,N/A,1,86.4%,Private,Cornerstone Christian Academy,Cornerstone Christian Academy POST FALLS,2018-2019,ID,N/A,,,,,,86.4%,-116.958681679,47.715687,810 N CHASE ROAD,POST FALLS,Post Falls,CORNERSTONE CHRISTIAN ACADEMY,83854
16.7%,100.0%,,22.2%,83.3%,First Grade,16.7%,16.7%,0.0%,22.2%,N/A,1,22.2%,Private,St. Dominic,St. Dominic POST FALLS,2018-2019,ID,N/A,,,,,,16.7%,-117.020608981,47.687183796,20274 West Riverview Dr. Post Fa,POST FALLS,Post Falls,ST. DOMINIC SCHOOL,83854
27.3%,100.0%,,63.6%,72.7%,First Grade,45.5%,27.3%,0.0%,45.5%,N/A,1,54.5%,Private,Classical Christian Academy,Classical Christian Academy POST FALLS,2018-2019,ID,N/A,,,,,,36.4%,-116.979020026,47.716136494,2289 W. Seltice Way,POST FALLS,Post Falls,CLASSICAL CHRISTIAN ACADEMY,83854
26.7%,100.0%,,26.7%,73.3%,First Grade,26.7%,26.7%,0.0%,26.7%,N/A,1,26.7%,Private,Immaculate Conception Academy,Immaculate Conception Academy POST FALLS,2018-2019,ID,N/A,,,,,,26.7%,-116.940374364,47.711772,495 North Lincoln St,POST FALLS,Post Falls,IMMACULATE CONCEPTION ACADEMY,83854
75.0%,75.0%,,81.3%,0.0%,First Grade,100.0%,93.8%,25.0%,93.8%,N/A,1,87.5%,Private,St. Nicholas Catholic,St. Nicholas Catholic RUPERT,2018-2019,ID,N/A,,,,,,81.3%,-113.674935353,42.613430647,614 2nd Ave,RUPERT,Rupert,ST. NICHOLAS CATHOLIC SCHOOL,83350
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Salmon Seventh Day Adventist,Salmon Seventh Day Adventist SALMON,2018-2019,ID,N/A,,,,,,N/A,-113.904300497,45.183670997,515 Upper Fairmont St.,SALMON,Salmon,SALMON SEVENTH DAY ADVENTIST,83467
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Sandpoint Jr Academy,Sandpoint Jr Academy SANDPOINT,2018-2019,ID,N/A,,,,,,N/A,-116.580064482,48.272957812,2255 PINE ST,SANDPOINT,Sandpoint,SANDPOINT JR ACADEMY,83864
42.9%,100.0%,,50.0%,57.1%,First Grade,57.1%,42.9%,0.0%,42.9%,N/A,1,42.9%,Private,Sandpoint Waldorf,Sandpoint Waldorf SANDPOINT,2018-2019,ID,N/A,,,,,,42.9%,-116.57724079,48.272615130,2007 Sandpoint W Dr,SANDPOINT,Sandpoint,SANDPOINT WALDORF SCHOOL,83864
66.7%,66.7%,,66.7%,0.0%,First Grade,66.7%,66.7%,33.3%,66.7%,N/A,1,66.7%,Private,Community School / Elementary,Community School / Elementary SUN VALLEY,2018-2019,ID,N/A,,,,,,66.7%,-114.352467296,43.689234572,1 Community School Dr,SUN VALLEY,Sun Valley,COMMUNITY SCHOOL - ELEMENTARY,83353
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Hilltop Adventist,Hilltop Adventist TWIN FALLS,2018-2019,ID,N/A,,,,,,N/A,-114.499466231,42.563802265,131 Grandview Drive,TWIN FALLS,Twin Falls,HILLTOP ADVENTIST SCHOOL,83301
,,,N/A,,First Grade,N/A,N/A,,N/A,N/A,1,,Private,Twin Falls Christian Academy,Twin Falls Christian Academy TWIN FALLS,2018-2019,ID,N/A,,,,,,N/A,-114.44062464,42.575769,798 Eastland Dr. N.,TWIN FALLS,Twin Falls,TWIN FALLS CHRISTIAN ACADEMY,83301
88.2%,88.2%,,94.1%,0.0%,First Grade,100.0%,94.1%,11.8%,94.1%,N/A,1,94.1%,Private,St. Edward's Catholic,St. Edward's Catholic TWIN FALLS,2018-2019,ID,N/A,,,,,,94.1%,-114.464966101,42.558938948,139 6th Ave East,TWIN FALLS,Twin Falls,ST. EDWARD'S CATHOLIC SCHOOL,83301
89.3%,100.0%,,91.1%,8.9%,First Grade,91.1%,91.1%,0.0%,91.1%,N/A,1,91.1%,Private,Xavier Charter,Xavier Charter TWIN FALLS,2018-2019,ID,N/A,,,,,,91.1%,-114.507659426,42.585690411,1218 N College Rd W,TWIN FALLS,Twin Falls,XAVIER CHARTER SCHOOL,83301
95.2%,100.0%,,95.2%,4.8%,First Grade,95.2%,95.2%,0.0%,95.2%,N/A,1,95.2%,Private,Immanuel Lutheran,Immanuel Lutheran TWIN FALLS,2018-2019,ID,N/A,,,,,,95.2%,-114.4440135,42.570406499,2055 Filer Ave E,TWIN FALLS,Twin Falls,IMMANUEL LUTHERAN SCHOOL,83301
90.0%,100.0%,,90.0%,10.0%,First Grade,90.0%,90.0%,0.0%,90.0%,N/A,1,90.0%,Private,Lighthouse Christian,Lighthouse Christian TWIN FALLS,2018-2019,ID,N/A,,,,,,90.0%,-114.440552726,42.560424252,960 Eastland Drive,TWIN FALLS,Twin Falls,LIGHTHOUSE CHRISTIAN SCHOOL,83301
100.0%,100.0%,,100.0%,0.0%,Seventh Grade,100.0%,100.0%,0.0%,100.0%,100.0%,1,100.0%,,Monticello Montessori Public Charter,Monticello Montessori Public Charter AMMON,2018-2019,ID,100.0%,,,,,,100.0%,-111.959314941,43.455208380,4707 S. Sweetwater Way,AMMON,Ammon,MONTICELLO MONTESSORI PUBLIC CHARTER SCHOOL,83406
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Coeur d'Alene Christian,Coeur d'Alene Christian COEUR D'ALENE,2018-2019,ID,N/A,,,,,,N/A,-116.77614089,47.730339,6439 N 4th,COEUR D'ALENE,Coeur d'Alene,COEUR D'ALENE CHRISTIAN SCHOOL,83815
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Table Rock Christian,Table Rock Christian DRIGGS,2018-2019,ID,N/A,,,,,,N/A,-111.111019064,43.745022,1510 N Hwy 33,DRIGGS,Driggs,TABLE ROCK CHRISTIAN SCHOOL,83422
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Patriot Juvenile Detention Center,Patriot Juvenile Detention Center EMMETT,2018-2019,ID,N/A,,,,,,N/A,-116.504613,43.876581,330 W. Main Street,EMMETT,Emmett,PATRIOT JUVENILE DETENTION CENTER SCHOOL,83617
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Syringa Mountain Charter,Syringa Mountain Charter HAILEY,2018-2019,ID,N/A,,,,,,N/A,-114.275122483,43.486619638,4021 Glenbrook Dr.,HAILEY,Hailey,SYRINGA MOUNTAIN CHARTER SCHOOL,83333
87.1%,100.0%,,87.1%,12.9%,Seventh Grade,87.1%,87.1%,0.0%,90.3%,90.3%,1,87.1%,,Ernest Hemingway Stem,Ernest Hemingway Stem KETCHUM,2018-2019,ID,90.3%,,,,,,90.3%,-114.369779,43.682186,P.O. BOX 298,KETCHUM,Ketchum,ERNEST HEMINGWAY STEAM SCHOOL,83340
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Desert View Christian,Desert View Christian MOUNTAIN HOME,2018-2019,ID,N/A,,,,,,N/A,-115.669699,43.13404,2425 American Legion Blvd.,MOUNTAIN HOME,Mountain Home,DESERT VIEW CHRISTIAN SCHOOL,83647
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Pine Elementary/Jr High,Pine Elementary/Jr High PINE,2018-2019,ID,N/A,,,,,,N/A,-115.388228,43.472779,160 S Lester Creek Rd,PINE,Pine,PINE ELEMENTARY-JUNIOR HIGH SCHOOL,83647
,,,N/A,,Seventh Grade,N/A,N/A,,N/A,N/A,1,,,Chief Tahgee Elementary Academy,Chief Tahgee Elementary Academy POCATELLO,2018-2019,ID,N/A,,,,,,N/A,-112.452995064,42.944462384,36 s Hiline,POCATELLO,Pocatello,CHIEF TAHGEE ELEMENTARY ACADEMY,83204
90.9%,100.0%,,95.4%,9.1%,Seventh Grade,96.6%,97.1%,0.0%,98.3%,96.0%,1,97.7%,,Star Middle,Star Middle SCHOOL,2018-2019,ID,96.0%,,,,,,94.9%,-116.472125,43.712989,2211 N. Pollard Ln.,STAR,Star,STAR MIDDLE SCHOOL,83669
70.9%,80.3%,,77.3%,6.9%,Seventh Grade,91.1%,94.1%,19.7%,90.6%,83.3%,1,90.6%,,South Hills Middle,South Hills Middle SCHOOL,2018-2019,ID,84.7%,,,,,,85.7%,-114.471214,42.523026,1550 Harrison St. S.,TWIN FALLS,Twin Falls,SOUTH HILLS MIDDLE SCHOOL,83301
70.0%,80.4%,,94.3%,10.4%,Seventh Grade,86.4%,92.9%,19.6%,94.6%,91.1%,1,94.3%,1 Boise,North Jr High,North Jr High BOISE,2018-2019,ID,93.9%,,,,,,86.8%,-116.203422,43.625782,1105 N 13th ST,BOISE,Boise,NORTH JUNIOR HIGH SCHOOL,83702
92.5%,95.8%,,97.7%,3.3%,Seventh Grade,94.8%,97.2%,4.2%,96.2%,92.5%,1,95.3%,1 Boise,Hillside Jr High,Hillside Jr High BOISE,2018-2019,ID,92.5%,,,,,,93.4%,-116.232395,43.654954,3536 Hill Rd.,BOISE,Boise,HILLSIDE JUNIOR HIGH SCHOOL,83703
94.7%,99.6%,,97.7%,4.9%,Seventh Grade,97.0%,97.7%,0.4%,97.4%,95.1%,1,97.7%,1 Boise,Fairmont Jr High,Fairmont Jr High BOISE,2018-2019,ID,95.8%,,,,,,95.8%,-116.274322,43.625646,2121 N. Cole Rd.,BOISE,Boise,FAIRMONT JUNIOR HIGH SCHOOL,83704
89.1%,90.8%,,91.2%,1.7%,Seventh Grade,95.4%,97.5%,9.2%,97.5%,89.5%,1,96.7%,1 Boise,South Jr High,South Jr High BOISE,2018-2019,ID,89.1%,,,,,,95.0%,-116.219893,43.597014,3101 W. Cassia St.,BOISE,Boise,SOUTH JUNIOR HIGH SCHOOL,83705
95.9%,98.9%,,97.4%,2.6%,Seventh Grade,97.4%,97.4%,1.1%,97.4%,96.3%,1,97.0%,1 Boise,Les Bois Jr High,Les Bois Jr High BOISE,2018-2019,ID,96.3%,,,,,,95.9%,-116.131206,43.546881,4150 E. Grand Forest Drive,BOISE,Boise,LES BOIS JUNIOR HIGH SCHOOL,83706
84.5%,92.2%,,98.2%,7.8%,Seventh Grade,97.2%,97.9%,7.8%,98.2%,91.2%,1,97.9%,1 Boise,West Jr High,West Jr High BOISE,2018-2019,ID,90.5%,,,,,,94.3%,-116.286192,43.571787,8371 W Salt Creek Ct,BOISE,Boise,WEST JUNIOR HIGH SCHOOL,83709
82.2%,94.8%,,92.7%,12.6%,Seventh Grade,91.6%,94.8%,5.2%,92.1%,86.9%,1,92.1%,1 Boise,Riverglen Jr High,Riverglen Jr High BOISE,2018-2019,ID,88.0%,,,,,,92.1%,-116.279256,43.67986,6801 N. Gary Lane,BOISE,Boise,RIVERGLEN JR HIGH SCHOOL,83714
92.7%,99.2%,,98.4%,6.5%,Seventh Grade,96.8%,97.6%,0.8%,96.8%,98.4%,1,98.4%,1 Boise,Treasure Valley Math/Science,Treasure Valley Math/Science BOISE,2018-2019,ID,98.4%,,,,,,96.8%,-116.279256,43.67986,6801 N. Gary Lane,BOISE,Boise,TREASURE VALLEY MATH SCIENCE,83714
86.6%,96.6%,,97.8%,9.9%,Seventh Grade,96.1%,98.7%,3.4%,97.8%,93.1%,1,96.6%,1 Boise,East Jr High,East Jr High BOISE,2018-2019,ID,94.8%,,,,,,94.4%,-116.115587,43.566155,5600 Warm Springs Ave,BOISE,Boise,EAST JUNIOR HIGH SCHOOL,83716
72.2%,100.0%,,87.0%,27.8%,Seventh Grade,90.7%,88.9%,0.0%,90.7%,79.6%,1,90.7%,1 Boise,Anser Charter,Anser Charter GARDEN CITY,2018-2019,ID,83.3%,,,,,,87.0%,-116.249002132,43.633071144,202 E 42nd Street,GARDEN CITY,Garden City,ANSER CHARTER SCHOOL,83714
95.9%,98.0%,,98.0%,2.0%,Seventh Grade,95.9%,98.0%,2.0%,98.0%,98.0%,1,98.0%,1 Boise,Wilder Middle/High,Wilder Middle/High WILDER,2018-2019,ID,98.0%,,,,,,95.9%,-116.905962,43.677138,419 Huff Rd,WILDER,Wilder,WILDER MIDDLE HIGH SCHOOL,83676
12.0%,23.1%,,88.0%,11.1%,Seventh Grade,88.0%,88.9%,76.9%,88.0%,17.6%,1,88.0%,101 Boundary,Boundary County Jr High,Boundary County Jr High BONNERS FERRY,2018-2019,ID,17.6%,,,,,,88.0%,-116.316163,48.689165,6577 Main Street Suite 100,BONNERS FERRY,Bonners Ferry,BOUNDARY COUNTY MIDDLE SCHOOL,83805
73.3%,86.7%,,93.3%,13.3%,Seventh Grade,93.3%,93.3%,13.3%,93.3%,80.0%,1,93.3%,11 Meadows Valley,Meadows Valley,Meadows Valley NEW MEADOWS,2018-2019,ID,86.7%,,,,,,80.0%,-116.28575,44.966539,500 N Miller Ave,NEW MEADOWS,New Meadows,MEADOWS VALLEY SCHOOL,83654
9.8%,14.6%,,87.8%,4.9%,Seventh Grade,85.4%,90.2%,,85.4%,9.8%,1,90.2%,111 Butte,Butte County Jr/Sr High,Butte County Jr/Sr High ARCO,2018-2019,ID,12.2%,,,,,,90.2%,-113.302447,43.634699,120 S. Water,ARCO,Arco,BUTTE COUNTY MIDDLE SCHOOL,83213
81.0%,100.0%,,95.2%,14.3%,Seventh Grade,85.7%,95.2%,0.0%,90.5%,90.5%,1,95.2%,121 Camas,Camas County Elementary/Jr High,Camas County Elementary/Jr High FAIRFIELD,2018-2019,ID,90.5%,,,,,,95.2%,-114.791983697,43.347230445,610 Soldier Rd.,FAIRFIELD,Fairfield,CAMAS COUNTY ELEMENTARY JR HIGH SCHOOL,83327
82.1%,96.4%,,92.9%,14.3%,Seventh Grade,92.9%,92.9%,3.6%,92.9%,89.3%,1,92.9%,13 Council,Council Jr/Sr High,Council Jr/Sr High COUNCIL,2018-2019,ID,89.3%,,,,,,78.6%,-116.438785,44.727848,101 E. Bleeker,COUNCIL,Council,COUNCIL JR SR HIGH SCHOOL,83612
91.6%,96.6%,,96.7%,5.0%,Seventh Grade,97.0%,96.8%,3.4%,97.6%,95.4%,1,97.0%,131 Nampa,Lone Star Middle,Lone Star Middle NAMPA,2018-2019,ID,94.5%,,,,,,96.9%,-116.614169,43.575833,11055 Lone Star Road,NAMPA,Nampa,LONE STAR MIDDLE SCHOOL,83651
95.1%,98.5%,,99.6%,3.0%,Seventh Grade,98.1%,99.2%,1.5%,98.9%,95.4%,1,98.9%,131 Nampa,West Middle,West Middle NAMPA,2018-2019,ID,96.2%,,,,,,98.1%,-116.592836,43.574949,28 S. Midland Blvd.,NAMPA,Nampa,WEST MIDDLE SCHOOL,83651
88.7%,91.8%,,97.5%,3.1%,Seventh Grade,98.1%,97.8%,8.2%,98.7%,90.0%,1,97.5%,131 Nampa,East Valley Middle,East Valley Middle NAMPA,2018-2019,ID,90.3%,,,,,,98.1%,-116.520475,43.546815,4085 Greenhurst Rd,NAMPA,Nampa,EAST VALLEY MIDDLE SCHOOL,83686
81.0%,84.7%,,94.4%,3.4%,Seventh Grade,97.0%,97.4%,15.3%,97.4%,94.4%,1,97.4%,131 Nampa,South Middle,South Middle NAMPA,2018-2019,ID,95.5%,,,,,,96.3%,-116.574897,43.547026,229 W. Greenhursts,NAMPA,Nampa,SOUTH MIDDLE SCHOOL,83686
93.8%,100.0%,,96.9%,6.2%,Seventh Grade,95.4%,96.9%,0.0%,95.4%,95.4%,1,96.9%,131 Nampa,Idaho Arts Charter,Idaho Arts Charter NAMPA,2018-2019,ID,95.4%,,,,,,95.4%,-116.552974184,43.583424640,1220 5th Street North,NAMPA,Nampa,IDAHO ARTS CHARTER SCHOOL,83687
91.6%,96.0%,,94.8%,4.0%,Seventh Grade,94.4%,95.2%,4.0%,94.8%,92.8%,1,95.2%,132 Caldwell,Jefferson Middle,Jefferson Middle CALDWELL,2018-2019,ID,93.2%,,,,,,94.8%,-116.692981,43.640691,311 South Tenth Ave,CALDWELL,Caldwell,JEFFERSON MIDDLE SCHOOL-CALDWELL,83605
94.2%,95.9%,,98.4%,1.6%,Seventh Grade,97.9%,97.9%,4.1%,98.4%,94.2%,1,98.4%,132 Caldwell,Syringa Middle,Syringa Middle CALDWELL,2018-2019,ID,94.7%,,,,,,98.4%,-116.685491,43.647038,1100 Willow St,CALDWELL,Caldwell,SYRINGA MIDDLE SCHOOL,83605
