Year,County,SiteName,Enrollment,PBE,PME
2016-2017,Multnomah,ST ANDREW  NATIVITY SCHOOL,84,0,0
2016-2017,Multnomah,ST CLARE  SCHOOL,214,6,1
2016-2017,Multnomah,ST IGNATIUS SCHOOL,193,8,0
2016-2017,Multnomah,ST JOHN FISHER SCHOOL,220,1,0
2016-2017,Multnomah,ST MARY'S ACADEMY,720,19,0
2016-2017,Multnomah,ST ROSE SCHOOL,223,1,0
2016-2017,Multnomah,ST THERESE SCHOOL,203,5,0
2016-2017,Multnomah,ST THOMAS MORE PARISH SCHOOL,203,6,0
2016-2017,Multnomah,Stephenson ES,339,16,0
2016-2017,Multnomah,SUMMA ACADEMY,54,10,0
2016-2017,Multnomah,Sunnyside Environmental K-8,599,127,3
2016-2017,Multnomah,SUNSTONE MONTESSORI SCHOOL,107,7,0
2016-2017,Multnomah,Sweetbriar ES,407,21,0
2016-2017,Multnomah,Trillium Public Charter,343,104,0
2016-2017,Multnomah,TRINITY ACADEMY,86,12,0
2016-2017,Multnomah,TRINITY LUTHERAN SCHOOL,77,1,0
2016-2017,Multnomah,Troutdale ES,419,33,0
2016-2017,Multnomah,TUCKER MAXON ORAL SCHOOL,58,7,0
2016-2017,Multnomah,Ventura Park ES,443,22,0
2016-2017,Multnomah,Vernon K-8,465,32,0
2016-2017,Multnomah,Vestal K-8,373,14,1
2016-2017,Multnomah,VILLAGE FREE SCHOOL,52,27,0
2016-2017,Multnomah,Walt Morey MS,603,31,1
2016-2017,Multnomah,West Gresham ES,276,7,0
2016-2017,Multnomah,WEST HILLS CHRISTIAN SCHOOL,409,41,0
2016-2017,Multnomah,WEST HILLS LEARNING CENTER,0,,
2016-2017,Multnomah,WEST HILLS MONTESSORI SCHOOL,65,10,0
2016-2017,Multnomah,West Orient MS,444,10,0
2016-2017,Multnomah,West Powellhurst ES,434,26,0
2016-2017,Multnomah,West Sylvan MS,911,27,2
2016-2017,Multnomah,White Shield School,2,,
2016-2017,Multnomah,Whitman ES,257,11,0
2016-2017,Multnomah,WHOLE CHILD MONTESSORI CENTER INC,12,2,0
2016-2017,Multnomah,Wilkes ES,457,8,0
2016-2017,Multnomah,Wilson High School,"1,379",62,2
2016-2017,Multnomah,Winterhaven K-8,351,38,0
2016-2017,Multnomah,Woodland Elementary,503,23,0
2016-2017,Multnomah,Woodlawn PK-8,319,14,0
2016-2017,Multnomah,Woodmere E.S.,280,11,0
2016-2017,Multnomah,Woodstock Elementary,530,37,1
2016-2017,Multnomah,Wynne Watts School,8,,
2016-2017,Multnomah,Youth Progress Association,16,0,0
2016-2017,Polk,Ash Creek Elementary,569,4,1
2016-2017,Polk,Brush College Elementary,266,15,0
2016-2017,Polk,Central High School,989,21,1
2016-2017,Polk,Chapman Hill,397,25,2
2016-2017,Polk,Dallas Community School,156,70,1
2016-2017,Polk,Dallas High School,929,30,2
2016-2017,Polk,Eola Hills Charter School,46,0,0
2016-2017,Polk,Faith Christian School,120,7,1
2016-2017,Polk,Falls City Elementary,124,13,0
2016-2017,Polk,Falls City High School,64,3,0
2016-2017,Polk,Family Christian School/Grace Baptist Church,5,,
2016-2017,Polk,Grace Christian Preschool & Kindergarten,11,2,0
2016-2017,Polk,Harritt Elementary,503,13,0
2016-2017,Polk,Independence Elementary School,433,7,0
2016-2017,Polk,Kalapuya Elementary,597,22,2
2016-2017,Polk,LaCreole Middle School,657,21,0
2016-2017,Polk,LVC-Luckiamute Valley Charter School,190,15,0
2016-2017,Polk,Lyle Elementary School,413,11,0
2016-2017,Polk,MCACS (Morrison Charter School),58,0,0
2016-2017,Polk,Mid Valley Christian Academy,32,8,0
2016-2017,Polk,Monmouth Elementary School,528,11,1
2016-2017,Polk,Myers Elementary,528,21,0
2016-2017,Polk,Oakdale Heights,364,16,0
2016-2017,Polk,Perrydale Elementary,155,5,1
2016-2017,Polk,Perrydale MS/HS l,166,2,1
2016-2017,Polk,Polk Adolescent Day Treatment Center,18,0,0
2016-2017,Polk,Riviera Christian School & Daycare,104,7,0
2016-2017,Polk,Straub Middle School,619,24,0
2016-2017,Polk,Talmadge Middle School,768,15,0
2016-2017,Polk,Wake Robin School,10,0,0
2016-2017,Polk,Walker Middle School,635,20,2
2016-2017,Polk,West Salem High School,"1,715",40,5
2016-2017,Polk,Western Mennonite School,171,22,0
2016-2017,Polk,Whitworth Elementary,456,25,1
2016-2017,Tillamook,East Elementary,504,14,0
2016-2017,Tillamook,Garibaldi Grade School,192,9,0
2016-2017,Tillamook,Liberty Elementary,303,10,1
2016-2017,Tillamook,Little Clipper Preschool,8,,
2016-2017,Tillamook,Neahkahnie High School,224,17,0
2016-2017,Tillamook,Neahkahnie Middle School,167,11,1
2016-2017,Tillamook,Nehalem Elementary,187,19,0
2016-2017,Tillamook,NESKOWIN VALLEY SCHOOL,28,13,0
2016-2017,Tillamook,Nestucca Middle/High School,239,6,0
2016-2017,Tillamook,Nestucca Valley Elementary School,223,9,1
2016-2017,Tillamook,Ocean Breeze School,47,5,0
2016-2017,Tillamook,Pacific Christian School,24,1,0
2016-2017,Tillamook,South Prairie Elementary School,369,11,1
2016-2017,Tillamook,Tillamook Adventist School,64,8,0
2016-2017,Tillamook,Tillamook High School,583,7,0
2016-2017,Tillamook,Tillamook Junior High School,319,12,0
2016-2017,Tillamook,Tillamook Youth Correctional Facility,40,0,0
2016-2017,Umatilla,Armand Larive Middle School,754,5,0
2016-2017,Umatilla,Athena Elementary,168,13,0
2016-2017,Umatilla,Blue Mountain Mennonite School,28,13,0
2016-2017,Umatilla,Central Middle School,405,4,0
2016-2017,Umatilla,Clara Brownell Middle School,285,3,0
2016-2017,Umatilla,Desert View Elementary,592,10,0
2016-2017,Umatilla,Echo Elementary and High School,286,7,4
2016-2017,Umatilla,Ferndale Elementary School,264,4,0
2016-2017,Umatilla,Freewater Elementary,274,4,0
2016-2017,Umatilla,Grove Elementary,273,0,0
2016-2017,Umatilla,Harris Junior Academy,25,2,0
2016-2017,Umatilla,Hawthorne School,32,1,0
2016-2017,Umatilla,Helix School District,179,2,1
2016-2017,Umatilla,Hermiston Christian School,65,1,0
2016-2017,Umatilla,Hermiston High School,"1,591",18,0
2016-2017,Umatilla,Hermiston Junior Academy,30,0,0
2016-2017,Umatilla,Highland Hills Elementary,466,3,1
2016-2017,Umatilla,Homestead Youth,20,0,0
2016-2017,Umatilla,Lifeways Day Treatment Program,13,0,0
2016-2017,Umatilla,LIGHTHOUSE CHRISTIAN ACADEMY,3,,
2016-2017,Umatilla,McKay Creek Elementary,276,7,0
2016-2017,Umatilla,McLoughlin High School,508,1,0
2016-2017,Umatilla,McNary Heights Elementary,684,5,0
2016-2017,Umatilla,Milton-Stateline SDA School,97,5,0
2016-2017,Umatilla,Nixyaawii Community School,63,0,0
2016-2017,Umatilla,Pendleton Early Learning Center,209,7,0
2016-2017,Umatilla,Pendleton High School,793,14,5
2016-2017,Umatilla,Pilot Rock Elementary,176,5,0
2016-2017,Umatilla,Pilot Rock JR/SR High School,161,3,0
2016-2017,Umatilla,Rocky Heights Elementary,487,8,0
2016-2017,Umatilla,Sandstone Middle School,529,4,2
2016-2017,Umatilla,Sherwood Heights Elementary,485,11,0
2016-2017,Umatilla,Stanfield Elementary,239,4,0
2016-2017,Umatilla,Stanfield Secondary,253,0,0
2016-2017,Umatilla,Sunridge Middle School,753,10,0
2016-2017,Umatilla,Sunset Elementary,606,3,0
2016-2017,Umatilla,Three R's Montessori School,4,,
2016-2017,Umatilla,Ukiah Elementary and High School,26,5,0
2016-2017,Umatilla,Umatilla High School,395,4,0
2016-2017,Umatilla,Washington Elementary,483,10,0
2016-2017,Umatilla,West Park Elementary,568,8,0
2016-2017,Umatilla,Weston Middle School,229,4,0
2016-2017,Umatilla,Weston-McEwen High School,177,0,0
2016-2017,Union,Central Elementary School,373,2,0
2016-2017,Union,Cove School District/charter school,274,11,1
2016-2017,Union,Elgin Stella Mayfield Elementary combined with Elg,367,23,2
2016-2017,Union,Grande Ronde Academy,51,4,0
2016-2017,Union,Grande Ronde Mennonite School,37,30,0
2016-2017,Union,Greenwood Elementary School,332,14,0
2016-2017,Union,Imbler Elementary,159,8,0
2016-2017,Union,Imbler JR/SR High,148,13,3
2016-2017,Union,Island City Elementary,262,13,1
2016-2017,Union,La Grande High School,663,25,6
2016-2017,Union,La Grande Middle School,513,30,1
2016-2017,Union,La Grande Seventh Day Adventist School,28,1,0
2016-2017,Union,Lighthouse Apostolic Academy,86,1,0
2016-2017,Union,North Powder School,270,18,0
2016-2017,Union,OAK HAVEN,3,,
2016-2017,Union,Riverbend High School OYA,13,0,0
2016-2017,Union,Union Elementary School,164,2,1
2016-2017,Union,Union High School,152,2,0
2016-2017,Union,Willow Elementary School,126,5,0
2016-2017,Wallowa,Enterprise Elementary,211,10,0
2016-2017,Wallowa,Enterprise Jr/Sr High School,210,14,0
2016-2017,Wallowa,Enterprise Seventh Day Adventist School,12,1,0
2016-2017,Wallowa,Joseph Schools,256,21,0
2016-2017,Wallowa,Troy School Dist. 54,2,,
2016-2017,Wallowa,Wallowa School District #12,194,0,0
2016-2017,Washington,A Child's Way Preschool and Kindergarden,21,6,0
2016-2017,Washington,Agia Sophia Academy,31,10,0
2016-2017,Washington,Alberta Rider Elementary,592,18,1
2016-2017,Washington,Aloha High School,"1,952",28,6
2016-2017,Washington,Aloha-Huber Park School,928,11,0
2016-2017,Washington,Amiguitos Westside,5,,
2016-2017,Washington,Archer Glen Elementary,546,22,0
2016-2017,Washington,Arco Iris Spanish Immersion School,292,21,1
2016-2017,Washington,Arts and Communications,680,32,3
2016-2017,Washington,Banks Elementary School,476,19,0
2016-2017,Washington,Banks High School,387,7,1
2016-2017,Washington,Banks Middle School,296,5,2
2016-2017,Washington,Barnes Elementary,630,10,1
2016-2017,Washington,Barnes Miller Child Development Center,2,,
2016-2017,Washington,Beaver Acres Elementary,730,24,0
2016-2017,Washington,Beaverton Christian Preschool and Kindergarden,27,4,0
2016-2017,Washington,Beaverton High School,"1,804",17,6
2016-2017,Washington,Bethany Elementary,549,27,3
2016-2017,Washington,Bethany Village Montessori School,1,,
2016-2017,Washington,Bonny Slope Elementary,619,31,2
2016-2017,Washington,Bridgeport Elementary School,489,12,3
2016-2017,Washington,Brookwood Elementary School,356,11,1
2016-2017,Washington,Brown Middle School,699,11,0
2016-2017,Washington,Bull Mountain Montessori,1,,
2016-2017,Washington,Butternut Creek Elementary,388,10,0
2016-2017,Washington,Byrom Elementary,547,22,1
2016-2017,Washington,Carden Cascade Academy,69,3,0
2016-2017,Washington,Catlin Gabel - Beginning School,36,2,0
2016-2017,Washington,Catlin Gabel Lower School,205,15,0
2016-2017,Washington,Catlin Gabel School - Upper,310,11,0
2016-2017,Washington,Catlin Gabel School-Middle,186,5,0
2016-2017,Washington,Cedar Hills Kindegarten + Preschool,18,5,0
2016-2017,Washington,Cedar Mill Elementary,402,19,2
2016-2017,Washington,Cedar Park Middle School,"1,023",34,1
2016-2017,Washington,Century High School,"1,550",5,5
2016-2017,Washington,Charles F Tigard Elementary,494,22,0
2016-2017,Washington,Chehalem Elementary,490,14,0
2016-2017,Washington,Chickadee Montessori LLC,2,,
2016-2017,Washington,Children's Learning Academy,14,0,0
2016-2017,Washington,City View Charter School,189,11,0
2016-2017,Washington,Community Preschools,3,,
2016-2017,Washington,Conestoga  Middle,889,22,1
2016-2017,Washington,Cooper Mountain Elementary,525,24,1
2016-2017,Washington,Cor Deo Christian Academy,252,52,0
2016-2017,Washington,Cordero Residential Treatment,13,0,0
2016-2017,Washington,Cornelius Elementary,303,0,0
2016-2017,Washington,Cornerstone Montessori,0,,
2016-2017,Washington,Creative Children's Center,16,3,0
2016-2017,Washington,Crescent Islamic Montessori School,7,,
2016-2017,Washington,Crossridge Montessori Preschool and Kindergarten,1,,
2016-2017,Washington,Day Treatment Program,35,2,0
2016-2017,Washington,Deer Creek Elementary,614,21,0
2016-2017,Washington,Dilley Elementary,268,8,0
2016-2017,Washington,Durham Education Center,42,0,0
2016-2017,Washington,Durham Elementary,508,16,0
2016-2017,Washington,Early Learning Community at Pacific University,33,5,0
2016-2017,Washington,Early Learning Matters,5,,
2016-2017,Washington,Eastwood Elementary,473,14,2
2016-2017,Washington,Echo Shaw Elementary,431,2,0
2016-2017,Washington,Edison High School,94,1,0
2016-2017,Washington,Edy Ridge Elementary,572,12,0
2016-2017,Washington,Elmonica Elementary,604,11,0
2016-2017,Washington,Errol Hassell Elementary,464,14,2
2016-2017,Washington,Evergreen Middle School,805,10,6
2016-2017,Washington,Faith Bible Christian School,324,22,4
2016-2017,Washington,Farmington View Elementary,301,16,3
2016-2017,Washington,Fern Hill Elementary,341,6,0
2016-2017,Washington,Findley Elementary,757,20,2
2016-2017,Washington,Fir Grove Elementary,458,17,0
2016-2017,Washington,Five Oaks Middle School,"1,011",29,1
2016-2017,Washington,Forest Grove Community School,204,13,4
2016-2017,Washington,Forest Grove High School,"1,875",31,5
2016-2017,Washington,Forest Hills Lutheran School,197,6,1
2016-2017,Washington,Fowler Middle School,776,12,1
2016-2017,Washington,Free Orchards Elementary,386,7,0
2016-2017,Washington,Gaarde Christian School,94,14,0
2016-2017,Washington,Gaston Elementary,265,16,2
2016-2017,Washington,Gaston Jr. Sr High School,285,14,0
2016-2017,Washington,German International School,140,16,0
2016-2017,Washington,Glencoe High School,"1,509",12,3
2016-2017,Washington,Greenway Elementary,361,12,0
2016-2017,Washington,Groner Elementary,195,6,0
2016-2017,Washington,Groner Middle School,31,1,0
2016-2017,Washington,Happy Hollow Children's Center,12,0,0
2016-2017,Washington,Harvey Clarke Elementary,493,25,3
2016-2017,Washington,Hazelbrook Middle School,949,17,5
2016-2017,Washington,Hazeldale Elementary,507,14,4
2016-2017,Washington,Health & Science School,679,14,4
2016-2017,Washington,Highland Park Middle School,902,18,3
2016-2017,Washington,Hillsboro High School,"1,271",16,3
2016-2017,Washington,Hillsboro Online Academy,136,11,2
2016-2017,Washington,Hillsboro Parent Preschool,7,,
2016-2017,Washington,Hiteon Elementary,669,37,0
2016-2017,Washington,Holy Trinity Catholic School,276,5,0
2016-2017,Washington,Hope Chinese Charter School,189,16,2
2016-2017,Washington,Horizon Christian Elementary and Middle,219,17,2
2016-2017,Washington,Horizon Christian High School,137,8,3
2016-2017,Washington,Imlay Elementary,530,25,1
2016-2017,Washington,Indian Hills Elementary,464,3,3
2016-2017,Washington,International School of Beaverton ( ISB ),848,12,2
2016-2017,Washington,Islamic School of Muslim Educational Trust (ISMET),138,4,0
2016-2017,Washington,J Clyde Hopkins Elementary School,513,32,0
2016-2017,Washington,Jackson Elementary,557,31,2
2016-2017,Washington,Jacob Wismer Elementary,673,20,3
2016-2017,Washington,Jesuit High School,"1,295",21,0
2016-2017,Washington,Joseph Gale Elementary School,518,22,1
2016-2017,Washington,Kids Incorporated Learning Center,8,,
2016-2017,Washington,Kinnaman Elementary,675,14,1
2016-2017,Washington,Knowledge Beginnings,12,0,0
2016-2017,Washington,Ladd Acres Elementary,510,14,0
2016-2017,Washington,Laurel Ridge Middle School,474,14,2
2016-2017,Washington,Learning Years Inc. - Jenkins,3,,
2016-2017,Washington,Learning Years Inc. Landmark,3,,
2016-2017,Washington,Lenox Elementary,461,15,1
2016-2017,Washington,Levi Anderson (St. Mary's),99,2,0
2016-2017,Washington,Liberty High School,"1,455",16,1
2016-2017,Washington,Life Christian School,243,13,0
2016-2017,Washington,Lincoln Street Elementary,511,4,0
2016-2017,Washington,Little Fruit Farm Montessori,1,,
2016-2017,Washington,Little Stars Montessori,1,,
2016-2017,Washington,Living Wisdom School,33,14,0
2016-2017,Washington,Mary Woodward Elementary,522,34,0
2016-2017,Washington,Mayflower Montessori,0,,
2016-2017,Washington,McKay Elementary,312,14,0
2016-2017,Washington,McKinley Elementary,606,20,2
2016-2017,Washington,McKinney Elementary,457,2,2
2016-2017,Washington,Meadow Park Middle School,846,14,3
2016-2017,Washington,Merlo Station Community High Schooll,155,1,0
2016-2017,Washington,Merlo Station Science and Technology,168,8,0
2016-2017,Washington,Metzger Elementary School,639,23,0
2016-2017,Washington,Middleton Elementary,593,24,1
2016-2017,Washington,Miller Education Center East,156,4,0
2016-2017,Washington,Miller Education Center West,66,0,0
2016-2017,Washington,Minter Bridge Elementary,468,12,0
2016-2017,Washington,Mitch Charter School,233,16,0
2016-2017,Washington,Montclair Elementary,357,20,1
2016-2017,Washington,Montessori School of Beaverton,118,22,0
2016-2017,Washington,Mooberry Elementary,445,3,0
2016-2017,Washington,Mountain View Middle School,845,18,0
2016-2017,Washington,My Little Waiting Room,7,,
2016-2017,Washington,My Little World Learning Daycare,1,,
2016-2017,Washington,Nancy Ryles Elementary,585,13,0
2016-2017,Washington,Neil Armstrong Middle School,839,16,1
2016-2017,Washington,New Life Christian School,11,0,0
2016-2017,Washington,North Plains Elementary,327,16,0
2016-2017,Washington,NORTHWEST CHINESE ACADEMY,44,6,0
2016-2017,Washington,OAK GROVE ACADEMY,48,1,0
2016-2017,Washington,Oak Hills Elementary,576,28,3
2016-2017,Washington,Oregon Episcopal School,850,44,0
2016-2017,Washington,Oregon Hope Chinese School,2,,
2016-2017,Washington,Orenco Elementary,648,22,2
2016-2017,Washington,Our Redeemer Lutheran Preschool,14,3,0
2016-2017,Washington,Patterson Elementary,440,7,1
2016-2017,Washington,Pilgrim Lutheran School,133,6,0
2016-2017,Washington,Poynter Middle School,732,23,0
2016-2017,Washington,Prince of Peace School,30,6,1
2016-2017,Washington,Quatama Elementary,486,9,0
2016-2017,Washington,Raleigh Hills Elementary,581,21,3
2016-2017,Washington,Raleigh Park Elementary,349,13,1
2016-2017,Washington,Reedville Elementary,224,1,0
2016-2017,Washington,Ridgewood Elementary,446,22,5
2016-2017,Washington,Rock Creek Elementary,578,37,2
2016-2017,Washington,Roots & Wings Montessori,1,,
2016-2017,Washington,Rosedale Elementary,425,6,1
2016-2017,Washington,Scholls Heights Elementary,535,21,0
2016-2017,Washington,Sexton Mt. Elementary,527,23,2
2016-2017,Washington,Sherwood Charter School,201,25,2
2016-2017,Washington,Sherwood High School,"1,692",31,3
2016-2017,Washington,Sherwood Middle School,715,24,1
2016-2017,Washington,Smockville Montessori,1,,
2016-2017,Washington,Sorrento daycare inc,0,,
2016-2017,Washington,South Meadows Middle School,707,10,1
2016-2017,Washington,Southridge High School,"1,682",19,4
2016-2017,Washington,Southwest Christian School,218,29,2
2016-2017,Washington,Springville School,"1,070",31,1
2016-2017,Washington,St. Anthony School,302,4,0
2016-2017,Washington,St. Cecilia School,237,21,1
2016-2017,Washington,St. Francis of Assisi School,89,8,0
2016-2017,Washington,St. Francis School,136,0,0
2016-2017,Washington,St. Matthew School,220,5,0
2016-2017,Washington,St. Pius X School,481,10,1
2016-2017,Washington,St. Stephens Academy,249,47,1
2016-2017,Washington,Stepping Stones Montessori,0,,
2016-2017,Washington,Stoller Middle School,"1,485",20,0
2016-2017,Washington,Sunset High School,"2,269",30,8
2016-2017,Washington,Sunshine Montessori,5,,
2016-2017,Washington,Swallowtail Waldorf School and Farm,133,55,0
2016-2017,Washington,Templeton James Elementary,592,38,1
2016-2017,Washington,Terra Linda Elementary,408,22,4
2016-2017,Washington,The Goddard School (Elam Young),14,0,0
2016-2017,Washington,The Wonder Years Learning Center,1,,
2016-2017,Washington,Tigard High School,"1,945",35,3
2016-2017,Washington,Tigard-Tualatin Online Academy,74,7,0
2016-2017,Washington,Tobias Elementary,429,11,1
2016-2017,Washington,Tom McCall Upper Elementary,770,8,1
2016-2017,Washington,Touchstone School - Beaverton,15,0,0
2016-2017,Washington,Transition Program Tigard HS,30,0,0
2016-2017,Washington,Tualatin Elementary,545,16,1
2016-2017,Washington,Tualatin High School,"1,892",33,7
2016-2017,Washington,Tualatin Valley Academy,179,14,0
2016-2017,Washington,Twality Middle School,"1,016",30,3
2016-2017,Washington,Valley Catholic  Middle School,253,6,0
2016-2017,Washington,Valley Catholic Elementary School,338,17,0
2016-2017,Washington,Valley Catholic High  School,381,4,0
2016-2017,Washington,Valor Christian School International,152,6,0
2016-2017,Washington,Visitation Catholic School,163,3,0
2016-2017,Washington,Vose Elementary,590,5,0
2016-2017,Washington,W.L. Henry Elementary,329,1,0
2016-2017,Washington,West Tualatin View Elementary,364,26,0
2016-2017,Washington,West Union Elementary School,380,15,0
2016-2017,Washington,Westgate Christian School,136,17,1
2016-2017,Washington,Westside Christian High School,239,5,0
2016-2017,Washington,Westview High School,"2,644",41,10
2016-2017,Washington,Whitford Middle School,710,21,4
2016-2017,Washington,William Walker Elementary,469,1,1
2016-2017,Washington,Witch Hazel Elementary,523,13,3
2016-2017,Washington,Young Learners Preschool,10,0,0
2016-2017,Wheeler,Fossil Elementary,26,1,0
2016-2017,Wheeler,Insight School of Oregon Painted Hills,286,19,1
2016-2017,Wheeler,Mitchell School District #55,56,2,1
2016-2017,Wheeler,Spray School District #1,55,0,0
2016-2017,Wheeler,Wheeler High School,23,0,0
2016-2017,Yamhill,Amity Elementary School,356,14,0
2016-2017,Yamhill,AMITY HIGH SCHOOL,274,9,2
2016-2017,Yamhill,AMITY MIDDLE SCHOOL,182,8,0
2016-2017,Yamhill,ANTONIA CRATER ELEMENTARY,442,30,2
2016-2017,Yamhill,BUEL ELEMENTARY SCHOOL,493,14,0
2016-2017,Yamhill,"C.S. LEWIS ACADEMY, HIGH SCHOOL",110,3,1
2016-2017,Yamhill,Catalyst,107,2,0
2016-2017,Yamhill,CHEHALEM VALLEY MIDDLE SCHOOL,656,27,2
2016-2017,Yamhill,COLUMBUS ELEMENTARY SCHOOL,490,18,0
2016-2017,Yamhill,Country Faith Christian Academy,33,2,1
2016-2017,Yamhill,DAYTON GRADE SCHOOL,425,9,1
2016-2017,Yamhill,DAYTON HIGH SCHOOL,327,7,0
2016-2017,Yamhill,DAYTON JR. HIGH SCHOOL,230,6,1
2016-2017,Yamhill,DELPHIAN SCHOOL,252,126,0
2016-2017,Yamhill,DUNDEE ELEMENTARY SCHOOL,298,17,1
2016-2017,Yamhill,Duniway Middle School,752,24,0
2016-2017,Yamhill,EDWARDS ELEMENTARY SCHOOL,532,23,0
2016-2017,Yamhill,EWING YOUNG ELEMENTARY SCHOOL,220,12,0
2016-2017,Yamhill,FAULCONER-CHAPMAN ELEMENTARY SCHOOL,345,10,4
2016-2017,Yamhill,Faulconer-Chapman Middle School,190,7,4
2016-2017,Yamhill,GRANDHAVEN ELEMENTARY,549,17,1
2016-2017,Yamhill,HOUSE OF HOPE,7,,
2016-2017,Yamhill,JOAN AUSTIN ELEMENTARY,348,23,1
2016-2017,Yamhill,LIFE CHRISTIAN ACADEMY,19,0,0
2016-2017,Yamhill,MABEL RUSH ELEMENTARY,525,15,1
2016-2017,Yamhill,MCMINNVILLE ADVENTIST CHRISTIAN SCHOOL,54,10,0
2016-2017,Yamhill,MCMINNVILLE CHRISTIAN ACADEMY,77,9,0
2016-2017,Yamhill,MCMINNVILLE HIGH SCHOOL,"2,134",49,4
2016-2017,Yamhill,MCMINNVILLE MONTESSORI SCHOOL,36,2,0
2016-2017,Yamhill,Memorial Elementary School,590,41,0
2016-2017,Yamhill,MOUNTAIN VIEW MIDDLE SCHOOL,541,21,0
2016-2017,Yamhill,NEWBERG HIGH SCHOOL,"1,512",50,2
2016-2017,Yamhill,NEWBY ELEMENTARY SCHOOL,524,8,0
2016-2017,Yamhill,PATTON MIDDLE SCHOOL,718,18,0
2016-2017,Yamhill,SHERIDAN HIGH SCHOOL,230,4,3
2016-2017,Yamhill,SHERIDAN JAPANESE SCHOOL,88,5,0
2016-2017,Yamhill,ST. JAMES CATHOLIC SCHOOL,68,4,0
2016-2017,Yamhill,ST. JOHN LUTHERAN K-5 & LITTLE LAMBS PRE-SCHOOL,10,1,0
2016-2017,Yamhill,VERITAS SCHOOL,216,37,0
2016-2017,Yamhill,WASCHER ELEMENTARY,436,26,0
2016-2017,Yamhill,WILLAMINA ELEMENTARY SCHOOL,474,18,0
2016-2017,Yamhill,WILLAMINA HIGH SCHOOL,272,8,0
2016-2017,Yamhill,WILLAMINA MIDDLE SCHOOL,147,3,0
2016-2017,Yamhill,YAMHILL CARLTON ELEMENTARY SCHOOL,380,19,1
2016-2017,Yamhill,YAMHILL CARLTON INTERMEDIATE SCHOOL,337,24,0
2016-2017,Yamhill,YAMHILL-CARLTON HIGH SCHOOL,315,6,0
