County,School Year,Percent_PBE
Hamilton,2014-2015,1.12
Hamilton,2015-2016,0.87
Hamilton,2016-2017,0.69
Hamilton,2017-2018,0.96
Hansford,2010-2011,0.46
Hansford,2011-2012,1.09
Hansford,2012-2013,1.04
Hansford,2013-2014,0.97
Hansford,2014-2015,1.19
Hansford,2015-2016,1.33
Hansford,2016-2017,1.11
Hansford,2017-2018,1.03
Hardeman,2010-2011,0.13
Hardeman,2011-2012,0.43
Hardeman,2012-2013,0.44
Hardeman,2013-2014,0.86
Hardeman,2014-2015,1.37
Hardeman,2015-2016,1.68
Hardeman,2016-2017,2.84
Hardeman,2017-2018,0
Hardin,2010-2011,0.53
Hardin,2011-2012,0.52
Hardin,2012-2013,0.6
Hardin,2013-2014,0.63
Hardin,2014-2015,0.48
Hardin,2015-2016,0.84
Hardin,2016-2017,0.96
Hardin,2017-2018,1.02
Harris,2010-2011,0.33
Harris,2011-2012,0.39
Harris,2012-2013,0.43
Harris,2013-2014,0.57
Harris,2014-2015,0.59
Harris,2015-2016,0.62
Harris,2016-2017,0.72
Harris,2017-2018,0.83
Harrison,2010-2011,0.27
Harrison,2011-2012,0.4
Harrison,2012-2013,0.42
Harrison,2013-2014,0.49
Harrison,2014-2015,0.66
Harrison,2015-2016,0.49
Harrison,2016-2017,0.62
Harrison,2017-2018,0.78
Hartley,2010-2011,1.5
Hartley,2011-2012,1.48
Hartley,2012-2013,1.47
Hartley,2013-2014,1.5
Hartley,2014-2015,1.1
Hartley,2015-2016,2.24
Hartley,2016-2017,4.06
Hartley,2017-2018,2.69
Haskell,2010-2011,0.11
Haskell,2011-2012,0
Haskell,2012-2013,0.12
Haskell,2013-2014,0.25
Haskell,2014-2015,0.24
Haskell,2015-2016,0.4
Haskell,2016-2017,0.37
Haskell,2017-2018,0.65
Hays,2010-2011,1.17
Hays,2011-2012,0.83
Hays,2012-2013,1.39
Hays,2013-2014,1.57
Hays,2014-2015,1.75
Hays,2015-2016,1.96
Hays,2016-2017,2.2
Hays,2017-2018,2.09
Hemphill,2010-2011,0.71
Hemphill,2011-2012,1.47
Hemphill,2012-2013,1
Hemphill,2013-2014,0.62
Hemphill,2014-2015,0.86
Hemphill,2015-2016,1.03
Hemphill,2016-2017,0.63
Hemphill,2017-2018,1.35
Henderson,2010-2011,0.26
Henderson,2011-2012,0.31
Henderson,2012-2013,0.44
Henderson,2013-2014,0.66
Henderson,2014-2015,0.71
Henderson,2015-2016,0.84
Henderson,2016-2017,1.1
Henderson,2017-2018,1.3
Hidalgo,2010-2011,0.05
Hidalgo,2011-2012,0.05
Hidalgo,2012-2013,0.07
Hidalgo,2013-2014,0.1
Hidalgo,2014-2015,0.05
Hidalgo,2015-2016,0.1
Hidalgo,2016-2017,0.14
Hidalgo,2017-2018,0.19
Hill,2010-2011,0.33
Hill,2011-2012,0.43
Hill,2012-2013,0.71
Hill,2013-2014,0.48
Hill,2014-2015,0.47
Hill,2015-2016,0.54
Hill,2016-2017,0.66
Hill,2017-2018,0.75
Hockley,2010-2011,0.57
Hockley,2011-2012,0.46
Hockley,2012-2013,0.59
Hockley,2013-2014,0.56
Hockley,2014-2015,0.47
Hockley,2015-2016,0.59
Hockley,2016-2017,0.88
Hockley,2017-2018,0.58
Hood,2010-2011,1.05
Hood,2011-2012,1.17
Hood,2012-2013,1.34
Hood,2013-2014,0.8
Hood,2014-2015,1.13
Hood,2015-2016,1.73
Hood,2016-2017,2.19
Hood,2017-2018,2.07
Hopkins,2010-2011,0.31
Hopkins,2011-2012,0.43
Hopkins,2012-2013,0.52
Hopkins,2013-2014,0.59
Hopkins,2014-2015,0.56
Hopkins,2015-2016,0.77
Hopkins,2016-2017,0.94
Hopkins,2017-2018,1.02
Houston,2010-2011,0.15
Houston,2011-2012,0.17
Houston,2012-2013,0.17
Houston,2013-2014,0.17
Houston,2014-2015,0.15
Houston,2015-2016,0.57
Houston,2016-2017,0.77
Houston,2017-2018,1.07
Howard,2010-2011,0.22
Howard,2011-2012,0.28
Howard,2012-2013,0.37
Howard,2013-2014,0.59
Howard,2014-2015,0.75
Howard,2015-2016,0.71
Howard,2016-2017,0.9
Howard,2017-2018,0.86
Hudspeth,2010-2011,0
Hudspeth,2011-2012,0
Hudspeth,2012-2013,0
Hudspeth,2013-2014,0
Hudspeth,2014-2015,0
Hudspeth,2015-2016,0
Hudspeth,2016-2017,0.78
Hudspeth,2017-2018,0.18
Hunt,2010-2011,0.33
Hunt,2011-2012,0.5
Hunt,2012-2013,0.58
Hunt,2013-2014,0.72
Hunt,2014-2015,0.8
Hunt,2015-2016,0.77
Hunt,2016-2017,0.82
Hunt,2017-2018,0.98
Hutchinson,2010-2011,0.4
Hutchinson,2011-2012,0.52
Hutchinson,2012-2013,0.42
Hutchinson,2013-2014,0.67
Hutchinson,2014-2015,0.81
Hutchinson,2015-2016,0.89
Hutchinson,2016-2017,0.77
Hutchinson,2017-2018,1.29
Irion,2010-2011,0.91
Irion,2011-2012,0.92
Irion,2012-2013,1.33
Irion,2013-2014,1.24
Irion,2014-2015,1.8
